"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","634.5604132585","572.16176273095","356.082212590475","347.466463257033","389.825286464953","441.89400183385","484.091640977405","501.156515236364","584.384267258527","575.62847915563","603.298025247115","676.150011307766","765.31617768154","910.171261745184","1166.63820390025","1608.16355164313","2109.52623145856","3064.28010596357","3908.94906011431","2917.366129424","3143.02920239019","3462.6816110805","3643.71518342262","3833.1575324911","4017.22980824942","3666.1418758065","3679.95197212365","4041.99502080997","4391.92369729686","4828.50517771789","4505.86736397124","4966.51347122366",
"American Samoa","ASM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8800.72881035461","9043.68236654528","8832.81851941832","8733.01428721137","8673.92719531291","9187.16634446553","10019.502245442","12191.5977314597","10446.8632062572","10495.3047320935","11920.0610903131","12038.8715916596","12313.9973571825","13101.5418159165","13300.8246114811","12372.8847825647","13195.9358995539","13672.576657298","15501.5263374397","15743.3107582991",
"Antigua and Barbuda","ATG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","1208.67716368052","1366.09214322439","1688.30935146634","2025.47468240637","2271.83192643132","2519.80314404024","2784.73723341125","3187.98149224773","3703.78681611756","4488.19601836971","5239.4583290888","6230.46681531959","6895.38607892574","7255.40630322086","7569.96900096501","7721.76311853696","8129.14412118471","8788.01332343794","8440.03452559258","9079.48121192054","9556.83280236062","10029.4777498107","10379.1604015118","11010.1974601342","10502.9388110146","10549.6661892802","10968.8926839103","11650.8484770858","12808.0101536637","14310.6862347854","16006.1361107498","16457.1040632589","14530.5986896353","13404.5160161036","13117.1469408968","13686.4765853976","13350.149136673","14004.8112122163","14861.8827074704","15862.6516627488","16110.5562811025","17527.1696291931","18319.4560540762","14787.6357752901","15781.3957017982",
"Australia","AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1810.51024859857","1877.50980321541","1854.55257522057","1967.01425911465","2131.27765747964","2280.9021078474","2343.70691671052","2579.98633948442","2723.99948368137","2991.24188887176","3304.67866654098","3494.97330953499","3949.46164337606","4770.71441498637","6482.83108182526","7003.84247098582","7487.07897464755","7775.57764482147","8252.91653378951","9294.35924726014","10208.5761716721","11853.4360174361","12778.855250056","11515.7384250381","12421.4925977337","11440.9685687363","11391.4367051223","11650.8418747976","14284.5158135864","17834.5688669242","18249.7094846628","18860.5815907438","18624.5550841793","17700.1155557894","18129.7907198601","20446.7198474713","22020.093721362","23645.0883283773","21478.3851573346","20698.7127028167","21853.781667691","19681.6626363573","20291.1785479686","23705.9072163917","30819.9934867745","34461.7087799639","36570.7203684146","41023.7548562293","49679.1805279842","42810.331655139","52134.3088504199","62596.4321748915","68044.714816234","68158.5797427053","62513.4112171122","56710.4457244504","49875.5651433836","53936.1402549903","57207.8715094806","54941.4341793948","51720.3707634401","60443.1091649968",
"Austria","AUT","GDP per capita (current US$)","NY.GDP.PCAP.CD","935.460426850415","1031.8150043291","1087.8342434189","1167.00053244585","1269.41258289256","1374.53213986075","1486.96860600566","1569.66718289967","1677.67352804272","1825.38612552124","2058.76905087549","2380.97845801742","2924.04887899105","3890.72241941969","4630.75719737956","5285.62072414121","5678.38665810018","6810.62768469634","8205.4689771504","9793.76534815017","10869.5464940526","9385.24906398343","9410.34725652989","9537.40742043378","8991.06503963026","9172.09676001833","13083.0726621044","16392.7695234749","17578.6189397397","17468.9461372569","21680.989623313","22410.9117666654","24880.1641180361","24081.5277928004","25646.7006591684","30325.8495818396","29809.0767730821","26705.4785993891","27361.8751106437","27183.4759263956","24625.6007227434","24558.7636778868","26527.5930910347","32294.0488606559","36889.2335135194","38417.4577857677","40669.3269586152","46915.3374004507","51919.9835754226","48153.3240199631","46903.7615854343","51442.2762464407","48564.9173350875","50731.1272541847","51786.3771747905","44195.8175947748","45307.5878620429","47429.1584564387","51466.5565633634","50070.4033482901","48809.2268762243","53637.7057109897",
"Azerbaijan","AZE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1234.53088916207","1209.18760201194","60.4582135796365","209.478571809788","157.086059054548","314.561226313624","409.163189106479","505.500349333104","561.906807871869","573.916512334089","655.119945170816","703.683843432722","763.080637985358","883.733971498452","1045.00937916805","1578.40239029603","2473.08181863536","3851.43786871172","5574.60380218613","4950.29479142375","5843.5337683582","7189.69122920765","7496.29464768263","7875.75695254288","7891.31314749986","5500.31038244408","3880.73873089556","4147.08971569171","4739.84171028393","4805.75371765917","4229.91064904503","5387.99797495383",
"Burundi","BDI","GDP per capita (current US$)","NY.GDP.PCAP.CD","71.3602242458753","72.0887821327769","73.9420079947413","78.9482692944993","85.9647246277142","50.9904202202224","51.8086400759858","54.4503050875793","54.647465679035","55.5437751186298","69.3951089241432","70.5855233745532","68.9553297399475","85.214643786738","94.3334626755974","112.286107305887","117.051878460375","139.413263732793","151.067991502609","189.125941172438","213.253435366784","215.78760277902","220.157009924496","229.117725538647","203.859829973679","232.41182455329","238.356916699581","219.371300655575","205.31791926308","207.291950106508","206.444928267383","208.656723378432","188.581166847581","168.964075594911","165.585934674604","168.627167702793","146.536182541744","164.233445666936","148.089553542574","130.753023919327","138.004617225366","135.606475784646","124.139297156796","114.36700716216","128.538422519456","151.18853639299","166.276237631689","170.70687366223","194.710640063606","204.544750108233","222.660589178565","236.451353673737","238.205949387117","241.54767083565","257.818551909332","289.359633280865","242.065670543589","243.135809436375","231.446476548394","216.972968085123","216.826741341377","221.477676223363",
"Belgium","BEL","GDP per capita (current US$)","NY.GDP.PCAP.CD","1273.69165910289","1350.19767333123","1438.5232330684","1535.02372901043","1701.84627554319","1835.59476553194","1957.62608042762","2086.63600544654","2222.36151051913","2458.08182003773","2765.89099664794","3082.92798879126","3831.63189999433","4900.96220075866","5733.79813933878","6701.37736052433","7243.04734119583","8426.94695947372","10289.7684173296","11810.6158754725","12864.0025661396","10622.8024830789","9343.86109959618","8846.23429846974","8457.26880316374","8750.81851250536","12170.0406962702","15135.8523116968","16391.093827791","16525.0617432848","20600.3752789827","21041.6606519648","23372.619171015","22283.9360213551","24208.5547931447","28413.8264387368","27489.5551770488","24820.9380503896","25338.4432934904","25252.8019066564","23098.8865077401","23015.0712632462","25006.191397109","30655.2092679024","35429.4077933344","36809.7013403619","38705.1067959147","44319.165448813","48303.397956286","44760.2912443709","44184.946353964","47410.5669277464","44670.5606845101","46757.9518559598","47764.0715120833","41008.296719472","42012.6227191016","44198.4823908691","47544.9811472757","46638.6813054855","45517.7949301847","51247.0143531626",
"Benin","BEN","GDP per capita (current US$)","NY.GDP.PCAP.CD","90.0358316802599","92.3748606272395","91.1713740838012","96.2546450322277","100.468081384315","105.966870412017","108.62824298478","107.682878213266","112.477965239415","111.695261751532","110.346964753318","108.494701662705","129.999639131104","156.28033752344","168.012243437116","200.334311817739","201.832902127325","211.492871232007","255.392342156982","317.820483363805","366.529448496396","327.564978594215","312.693167775333","262.577364474932","244.844348449965","236.610566642718","293.559635449244","333.22307674637","335.341944479063","301.684929847304","381.8050394411","375.292007646157","310.623720074924","398.612997743116","269.790584984608","358.823005686054","380.588309191502","355.142054792212","372.877330765148","541.702302424725","502.997964780144","508.347442852624","564.379079618679","698.408808628665","784.119122642955","805.904628723631","837.132042511019","944.64320765254","1098.94677969563","1061.71841147116","1009.48949433002","1099.4143113919","1112.56953520687","1214.29556576586","1251.5047654269","1041.65252315983","1049.82030349923","1095.27445905119","1194.43821427144","1170.96553298099","1237.94929535039","1319.1549945174",
"Burkina Faso","BFA","GDP per capita (current US$)","NY.GDP.PCAP.CD","69.0831956138814","72.1737667702228","77.0773184226345","78.829070427615","80.8338545337898","81.9935381863938","82.7592278672445","84.5595043527729","84.9193236476455","86.7151081361612","81.687743020539","84.5179745984608","99.6670763467902","114.218515028557","124.811520798762","153.128822786853","155.754986595809","176.297460267401","224.328513221963","259.036560505979","278.195392739194","249.285420195895","239.61946130328","212.487008209585","188.335746449639","194.567874842531","248.092872961555","280.952670290443","301.953507947236","294.043723388717","339.631807555863","334.759664653717","349.708108966836","325.15364242124","187.815136534077","229.832672001726","243.526937806374","224.611333094497","250.413933774443","293.887468035935","249.802067600678","260.443470621576","286.75372602863","363.818368271227","405.45130104192","442.944399545574","457.342096738754","516.750347904292","621.890328967402","603.877575094504","627.270347532954","727.6125146559","733.972934218398","762.303817145668","767.371390675917","632.12668368394","665.786345451309","711.184604673297","779.202709700092","772.166894917835","833.244342636324","893.077155776863",
